Tahun Tracer Study,Jurusan,Pekerjaan dengan kuliah tidak sesuai (%),Jumlah responden,Weighted Sum
2020,Teknik dan Pengelolaan Sumber Daya Air,0.23,26,5.98
2020,Teknik Pertambangan,0.07,67,4.69
2020,Teknik Metalurgi,0.36,39,14.04
2020,Teknik Geofisika,0.73,45,32.85
2020,Teknik Perminyakan,0.42,80,33.6
2020,Arsitektur,0.26,73,18.98
2020,Perencanaan Wilayah dan Kota,0.3,60,18
2020,Manajemen,0.18,94,16.92
2020,Kewirausahaan,0.67,15,10.05
2020,Sains dan Teknologi Farmasi,0.17,75,12.75
2020,Farmasi Klinik dan Komunitas,0.17,24,4.08
2020,Biologi,0.56,34,19.04
2020,Microbiologi,0.16,19,3.04
2020,Rekayasa Hayati,0.3,30,9
2020,Rekayasa Pertanian,0.83,36,29.88
2020,Rekayasa Kehutanan,0.33,30,9.9
